ID,Sex,Spayed_or_not,Birthday
094-004234,Female,Neutered,2012-05
094-004290,Male,Intact,2011-03
094-004301,Male,Neutered,2012-09
094-004306,Male,Neutered,2012-01
094-004312,Male,Neutered,2011-10
094-004317,Male,Neutered,2012-05
094-004323,Female,Neutered,2012-06
094-004334,Female,Neutered,2012-09
094-004371,Male,Neutered,2011-05
094-004378,Male,Neutered,2012-09
094-004383,Female,Intact,2012-06
094-004385,Male,Neutered,2012-01
094-004390,Female,Neutered,2012-08
094-004392,Male,Neutered,2012-09
094-004399,Male,Neutered,2012-02
094-004400,Male,Neutered,2012-02
094-004402,Male,Intact,2012-11
094-004422,Female,Neutered,2012-11
094-004430,Male,Neutered,2011-11
094-004443,Male,Neutered,2011-06
094-004445,Male,Neutered,2011-06
094-004451,Female,Neutered,2012-05
094-004453,Female,Neutered,2012-03
094-004458,Male,Intact,2011-11
094-004460,Male,Intact,2012-03
094-004465,Male,Neutered,2012-02
094-004474,Female,Neutered,2011-07
094-004485,Male,Neutered,2011-10
094-004493,Female,Neutered,2011-10
094-004512,Female,Neutered,2012-05
094-004514,Male,Intact,2011-05
094-004517,Female,Neutered,2012-10
094-004522,Female,Intact,2012-10
094-004526,Female,Neutered,2011-10
094-004530,Female,Neutered,2012-01
094-004532,Male,Neutered,2012-10
094-004536,Female,Neutered,2012-11
094-004582,Male,Neutered,2012-01
094-004585,Male,Neutered,2012-11
094-004589,Female,Intact,2012-09
094-004593,Male,Intact,2011-04
094-004594,Female,Neutered,2011-04
094-004596,Male,Neutered,2012-03
094-004600,Male,Intact,2012-02
094-004609,Female,Neutered,2012-04
094-004612,Female,Neutered,2011-03
094-004616,Female,Neutered,2012-06
094-004622,Female,Neutered,2012-09
094-004627,Male,Neutered,2012-01
094-004632,Female,Neutered,2012-11
094-004645,Female,Neutered,2012-09
094-004647,Male,Neutered,2012-06
094-004652,Male,Neutered,2012-06
094-004654,Female,Neutered,2011-03
094-004656,Female,Neutered,2012-09
094-004666,Male,Neutered,2012-06
094-004687,Female,Neutered,2012-04
094-004707,Male,Neutered,2012-09
094-004712,Female,Neutered,2011-09
094-004719,Female,Neutered,2013-01
094-004723,Female,Neutered,2012-12
094-004727,Male,Intact,2011-05
094-004729,Female,Neutered,2012-08
094-004730,Male,Intact,2011-08
094-004738,Female,Neutered,2011-04
094-004747,Female,Neutered,2011-12
094-004753,Female,Neutered,2012-03
094-004761,Female,Neutered,2012-03
094-004771,Male,Neutered,2011-08
094-004780,Female,Intact,2012-12
094-004788,Female,Neutered,2011-07
094-004790,Female,Neutered,2012-12
094-004797,Male,Neutered,2013-01
094-004803,Female,Neutered,2012-11
094-004807,Female,Neutered,2012-12
094-004811,Male,Neutered,2012-08
094-004816,Male,Intact,2011-06
094-004820,Female,Neutered,2011-02
094-004826,Female,Neutered,2011-12
094-004838,Male,Intact,2012-10
094-004861,Female,Neutered,2012-05
094-004869,Male,Intact,2011-12
094-004871,Female,Intact,2012-04
094-004879,Male,Neutered,2012-07
094-004888,Female,Intact,2012-04
094-004894,Female,Intact,2012-06
094-004896,Male,Neutered,2012-12
094-004903,Female,Neutered,2012-05
094-004916,Male,Neutered,2012-02
094-004922,Female,Intact,2012-09
094-004924,Male,Neutered,2012-10
